بخش,نقش/سمت,نام
تقدیم,,پیشکش به انسان‌های بزرگی که قدرت بخشیدن دارند
معرفی,بازیگر,نوید محمدزاده
معرفی,بازیگر,مریم پالیزبان
معرفی,بازیگر,مهدی کوشکی
معرفی,بازیگر,بهرام افشاری
معرفی,و بازیگر,باران کوثری
معرفی,عنوان فیلم,در لانتوری
معرفی,نویسنده، تهیه‌کننده و کارگردان,رضا درمیشیان
معرفی,مدیر فیلمبرداری,اشکان اشکانی
معرفی,موسیقی,کیهان کلهر
معرفی,طراحی، ترکیب و تدوین صدا,محمدرضا دلپاک
معرفی,طراحی، ترکیب و تدوین صدا,حسین مهدوی
معرفی,مدیر تولید,محمدرضا منصوری
معرفی,طراح چهره‌پردازی سه‌بعدی,عبدالله اسکندری
معرفی,طراح چهره‌پردازی,مهرداد میرکیانی
معرفی,صدابردار,سعید بجنوردی
معرفی,مدیر برنامه‌ریزی,افشین رضایی
معرفی,دستیار اول کارگردان,امیرحسین غیاثوند
معرفی,جلوه‌های بصری,امیر سحرخیز
معرفی,عکاس,نوشین جعفری
بازیگران,مریم,مریم پالیزبان
بازیگران,پاشا,نوید محمدزاده
بازیگران,مامور پزشکی قانونی,رضا بهبودی
بازیگران,سایه,بهناز جعفری
بازیگران,مادر مقتول,فاطمه نقوی
بازیگران,خانم زندی,پریوش نظریه
بازیگران,ملک,مهدی کوشکی
بازیگران,آقای نادری,نادر فلاح
بازیگران,آقای ضرابی,اردشیر رستمی
بازیگران,قاضی,حسین پاکدل
بازیگران,سعید,بهرنگ علوی
بازیگران,سارا,ستاره پسیانی
بازیگران,بهرام,بهرام افشاری
بازیگران,مدیر مسئول,سیاوش چراغی‌پور
بازیگران,مامور پلیس,کاظم سیاحی
بازیگران,هادی,سجاد تابش
بازیگران,سهراب,یسنا میرطهماسب
بازیگران,کرم خاکی,وحید قاضی‌زاهدی
بازیگران,مرد مضروب,هادی احمدی
بازیگران,مرد روی نیمکت,شهریار فرد
بازیگران,بلال فروش,امیرحسین طاهری
بازیگران,جوان خفت شده,امیررضا رنجبران
بازیگران,شاهد زورگیری,میثم نوروزی
بازیگران,روحانی,علیرضا خاتمی
بازیگران,راننده شاهد,رضا رباط‌جزی
بازیگران,مرد خفت شده,حامد اسماعیل‌زاده
بازیگران,منشی سعید,پانته‌آ غدیریان
بازیگران,مرد نابینا,محمد حسین‌پور
بازیگران,مرد اخاذی شده,نظام‌الدین کیایی
بازیگران,بارون - و,باران کوثری
گروه کارگردانی,نویسنده فیلمنامه و کارگردان,رضا درمیشیان
گروه کارگردانی,برنامه‌ریز,افشین رضایی
گروه کارگردانی,دستیار اول کارگردان,امیرحسین غیاثوند
گروه کارگردانی,دستیار کارگردان,عادل تبریزی
گروه کارگردانی,منشی صحنه,سعیده دلیریان
گروه فیلمبرداری,مدیر فیلم‌برداری,اشکان اشکانی
گروه فیلمبرداری,دستیار اول فیلمبردار,مجتبی شادرو
گروه فیلمبرداری,دستیار دوم فیلم‌بردار,حمید فصاحتی
گروه فیلمبرداری,مسئول برق,کریم جان‌بخش
گروه فیلمبرداری,سینه موبیل,محمد حسین‌پور
گروه تدوین,تدوین,هایده صفی‌یاری
گروه تدوین,دستیار تدوین,سارا آهنی
گروه تدوین,,پیام علیمرادی
گروه تدوین,استودیو تدوین,استودیو روشنا
گروه چهره‌پردازی,طراح چهره‌پردازی سه‌بعدی,عبدالله اسکندری
گروه چهره‌پردازی,طراح چهره‌پردازی,مهرداد میرکیانی
گروه چهره‌پردازی,مجری چهره‌پردازی,ساناز سرمدی
گروه چهره‌پردازی,,محمد غلامی
گروه چهره‌پردازی,,محسن صالحی
گروه چهره‌پردازی,مجری چهره‌پردازی سه‌بعدی,مانی اسکندری
گروه صحنه,طراح صحنه,محسن نصراللهی
گروه صحنه,دستیار اول صحنه,جواد فاضلی
گروه صحنه,دستیار صحنه,احمد عبداللهی
گروه لباس,طراح لباس,گلناز گلشن
گروه لباس,دستیار لباس,مهسا قره‌خانی
گروه لباس,دوخت لباس,راشین اکرمی
گروه صدا,مدیر تدوین صدا,محمدرضا دلپاک
گروه صدا,صدابردار صحنه,سعید بجنوردی
گروه صدا,ترکیب صدا,حسین مهدوی
گروه صدا,دستیار تدوین صدا,انسیه ملکی
گروه صدا,دستیار صدابردار صحنه,محسن نانکلی
گروه صدا,صدابردار استودیو,رضا گدازگر
گروه صدا,استودیو صدا,استودیو مون
گروه صدا,مدیر استودیو,رضا نریمی‌زاده
گروه صدا,دستیار صدا,آرش آریاپور
گروه صدا,باتشکر از,علیرضا نکولعل
گروه صدا,باتشکر از,حسن مهدوی
گروه صدا,همکاران صدای استودیو,علی نوری
گروه صدا,همکاران صدای استودیو,امیر طوسی
موسیقی,موسیقی,کیهان کلهر
جلوه‌های بصری,طراح جلوه‌های بصری,امیر سحرخیز
جلوه‌های بصری,اجرا,بیتا اخلاقی
جلوه‌های بصری,اجرا,شهره دباغیان
لابراتوار دیجیتال - استودیو روشنا,مدیر اجرایی,محمد حسین دارالشفائی
لابراتوار دیجیتال - استودیو روشنا,تصحیح رنگ,کامران سحرخیز
لابراتوار دیجیتال - استودیو روشنا,,فرهاد قدسی
لابراتوار دیجیتال - استودیو روشنا,,ماهان سلیمانی
لابراتوار دیجیتال - استودیو روشنا,امور فنی,آرش حسینی
گروه تولید,مدیر تولید,محمدرضا منصوری
گروه تولید,مشاور تولید,احسان ظلی‌پور
گروه تولید,دستیار تولید,کیومرث عباسی‌نوده
گروه تولید,هماهنگی تولید,حنیف سروری
گروه تولید,مدیر تدارکات,علی صبوری‌راد
گروه تولید,امور مالی,هرمز لاریجانی
گروه تولید,دستیاران تدارکات,امیرهوشنگ اصغری
گروه تولید,دستیاران تدارکات,امرالله حسین نوری
گروه تولید,دستیاران تدارکات,کامبیز محمدی
گروه تولید,دستیاران تدارکات,شاهپور صفدری
گروه تولید,خدمات,رحمان فرهنگ
گروه تولید,حمل و نقل,جعفر ایناتلو
گروه تولید,حمل و نقل,داود سیف‌آبادی
گروه تولید,حمل و نقل,موسی فتوحی
گروه تولید,حمل و نقل,سلیمان شمس
گروه تولید,حمل و نقل,محمد امیدوار
گروه تولید,حمل و نقل,حسن حسین نوری
سایر,عکس,نوشین جعفری
سایر,تیتراژ,فرهاد قدسی
سایر,مدیر روابط عمومی,سعید حسینی
سایر,مشاوران پزشکی,دکتر سید کمال فروتن
سایر,مشاوران پزشکی,دکتر آرسیا تقوا
سایر,مشاور حقوقی,عادل مقدسی
سایر,کارشناس نیروی انتظامی,سرهنگ رحیم رمضانی
سایر,مسئولین هنروران,سهیلا محسنی
سایر,مسئولین هنروران,محمد معصومی
سایر,مسئولین هنروران,کبری بختیاری
سایر,مسئولین هنروران,حسن مرادی
سایر بازیگران,,معصومه آقایی
سایر بازیگران,,حسین کربلایی
سایر بازیگران,,مهدی میرزایی
سایر بازیگران,,رضا رضایی
سایر بازیگران,,امیرهوشنگ اصغری
سایر بازیگران,,علی صالحی
سایر بازیگران,,فاطمه عسگری
سایر بازیگران,,امیر شهسواری
سایر بازیگران,,وحید قادری
سایر بازیگران,,شهناز شیدایی
